title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Roman Holiday,117 min, Comedy; Romance,William Wyler,Ian McLellan Hunter;John Dighton;Paramount Pictures,Gregory Peck;Audrey Hepburn;Eddie Albert;Hartley Power;Harcourt Williams;Margaret Rawlings;Tullio Carminati;Paolo Carlini;Claudio Ermelli;Paola Borboni;Alfredo Rizzo;Laura Solari;Gorella Gori,,"90,902"
Wie is bang voor Virginia Woolf?,131 min, Drama,Mike Nichols,Ernest Lehman;Warner Bros.;Chenault Productions,Elizabeth Taylor;Richard Burton;George Segal;Sandy Dennis,,"51,914"
Papillon,151 min, Biography; Crime; Drama,Franklin J. Schaffner,Dalton Trumbo;Lorenzo Semple Jr.;Allied Artists Pictures;Corona-General;Solar Productions,Steve McQueen;Dustin Hoffman;Victor Jory;Don Gordon;Anthony Zerbe;Robert Deman;Woodrow Parfrey;Bill Mumy;George Coulouris;Ratna Assan;William Smithers;Val Avery;Gregory Sierra;Vic Tayback;Mills Watson,,"91,445"
Bom yeoreum gaeul gyeoul geurigo bom,103 min, Drama,Ki-duk Kim,Ki-duk Kim;Korea Pictures;LJ Film;Pandora Filmproduktion,Yeong-su Oh;Ki-duk Kim;Young-min Kim;Jae-kyeong Seo;Yeo-jin Ha;Jong-ho Kim;Jung-young Kim;Dae-han Ji;Min Choi;Ji-a Park;Min-Young Song,,"57,679"
Belle en het Beest,91 min, Animation; Family; Fantasy; Musical; Romance,Gary Trousdale;Kirk Wise,Linda Woolverton;Roger Allers;Walt Disney Pictures;Silver Screen Partners IV;Walt Disney Feature Animation,Robby Benson;Jesse Corti;Rex Everhart;Angela Lansbury;Paige O'Hara;Jerry Orbach;Bradley Pierce;David Ogden Stiers;Richard White;Jo Anne Worley;Mary Kay Bergman;Brian Cummings;Alvin Epstein;Tony Jay;Alec Murphy,,"279,081"
The Night of the Hunter,92 min, Crime; Drama; Film-Noir; Thriller,Charles Laughton;Robert Mitchum,Davis Grubb;James Agee;Paul Gregory Productions,Robert Mitchum;Shelley Winters;Lillian Gish;James Gleason;Evelyn Varden;Peter Graves;Don Beddoe;Billy Chapin;Sally Jane Bruce;Gloria Castillo;Emmett Lynn,,"59,982"
Anatomy of a Murder,160 min, Crime; Drama; Mystery; Thriller,Otto Preminger,Wendell Mayes;John D. Voelker;Carlyle Productions,James Stewart;Lee Remick;Ben Gazzara;Arthur O'Connell;Eve Arden;Kathryn Grant;George C. Scott;Orson Bean;Russ Brown;Murray Hamilton;Brooks West;Ken Lynch;John Qualen;Howard McNear;Alexander Campbell,,"42,624"
Before Sunset,80 min, Drama; Romance,Richard Linklater,Richard Linklater;Julie Delpy;Warner Independent Pictures (WIP);Castle Rock Entertainment;Detour Filmproduction,Ethan Hawke;Julie Delpy;Vernon Dobtcheff;Louise Lemoine Torrès;Rodolphe Pauly;Mariane Plasteig;Diabolo;Denis Evrard;Albert Delpy;Marie Pillet,,"153,469"
La Strada,108 min, Drama,Federico Fellini,Federico Fellini;Tullio Pinelli;Ponti-De Laurentiis Cinematografica,Anthony Quinn;Giulietta Masina;Richard Basehart;Aldo Silvani;Marcella Rovere;Livia Venturini,,"43,893"
La dolce vita,180 min, Comedy; Drama,Federico Fellini,Federico Fellini;Ennio Flaiano;Riama Film;Gray-Film;Pathé Consortium Cinéma,Marcello Mastroianni;Anita Ekberg;Anouk Aimée;Yvonne Furneaux;Magali Noël;Alain Cuny;Annibale Ninchi;Walter Santesso;Lex Barker;Jacques Sernas;Nadia Gray;Valeria Ciangottini;Riccardo Garrone;Ida Galli;Audrey McDonald,,"45,276"
The Hustler,134 min, Drama; Sport,Robert Rossen,Sidney Carroll;Robert Rossen;Rossen Films;Twentieth Century Fox Film Corporation,Paul Newman;Jackie Gleason;Piper Laurie;George C. Scott;Myron McCormick;Murray Hamilton;Michael Constantine;Stefan Gierasch;Clifford A. Pellow;Jake LaMotta;Gordon B. Clarke;Alexander Rose;Carolyn Coates;Carl York;Vincent Gardenia,,"59,815"
The Graduate,106 min, Comedy; Drama; Romance,Mike Nichols,Calder Willingham;Buck Henry;Lawrence Turman,Anne Bancroft;Dustin Hoffman;Katharine Ross;William Daniels;Murray Hamilton;Elizabeth Wilson;Buck Henry;Brian Avery;Walter Brooke;Norman Fell;Alice Ghostley;Marion Lorne;Eddra Gale,,"200,068"
Le samouraï,105 min, Crime; Drama; Mystery; Thriller,Jean-Pierre Melville,Jean-Pierre Melville;Georges Pellegrin;Compagnie Industrielle et Commerciale Cinématographique (CICC);Fida Cinematografica;Filmel,Alain Delon;François Périer;Nathalie Delon;Cathy Rosier;Jacques Leroy;Michel Boisrond;Robert Favart;Jean-Pierre Posier;Catherine Jourdan;Roger Fradet;Carlo Nell;Robert Rondo;André Salgues;André Thorent;Jacques Deschamps,,"29,408"
Fa yeung nin wa,98 min, Drama; Romance,Kar Wai Wong,Kar Wai Wong;Block 2 Pictures;Jet Tone Production;Paradis Films,Maggie Cheung;Tony Chiu Wai Leung;Ping Lam Siu;Tung Cho 'Joe' Cheung;Rebecca Pan;Kelly Lai Chen;Man-Lei Chan;Szu-Ying Chien;Roy Cheung;Paulyn Sun;Po-chun Chow;Kam-wah Koo;Hsien Yu,,"68,696"
Solaris,115 min, Drama; Mystery; Sci-Fi,Andrei Tarkovsky,Stanislaw Lem;Fridrikh Gorenshteyn;Creative Unit of Writers &amp; Cinema Workers;Kinostudiya ''Mosfilm'';Unit Four,Natalya Bondarchuk;Donatas Banionis;Jüri Järvet;Vladislav Dvorzhetskiy;Nikolay Grinko;Anatoliy Solonitsyn;Olga Barnet;Vitalik Kerdimun;Olga Kizilova;Tatyana Malykh;Aleksandr Misharin;Bagrat Oganesyan;Tamara Ogorodnikova;Sos Sargsyan;Yulian Semyonov,,"49,377"
Trois couleurs: Rouge,99 min, Drama; Mystery; Romance,Krzysztof Kieslowski,Krzysztof Kieslowski;Krzysztof Piesiewicz;MK2 Productions;France 3 Cinéma;CAB Productions,Irène Jacob;Jean-Louis Trintignant;Frédérique Feder;Jean-Pierre Lorit;Samuel Le Bihan;Marion Stalens;Teco Celio;Bernard Escalon;Jean Schlegel;Elzbieta Jasinska;Paul Vermeulen;Jean-Marie Daunas;Roland Carey;Brigitte Raul;Leo Ramseyer,,"59,374"
Queen,146 min, Adventure; Comedy; Drama,Vikas Bahl,Vikas Bahl;Chaitally Parmar;Viacom18 Motion Pictures;Phantom Films,Kangana Ranaut;Rajkummar Rao;Lisa Haydon;Mish Boyko;Jeffrey Chee Eng Ho;Marco Canadea;Guithob Joseph;Yogendra Tikku;Alka Badola Kaushal;Tripta Lakhanpal;Chinmay Chandraunshuh;Nayani Dixit;Sabeeka Imam;Ayaan Malik;Ramesh Kalra,,"33,706"
Wat is er toch van Baby Jane terechtgekomen?,134 min, Drama; Thriller,Robert Aldrich,"Henry Farrell;Lukas Heller;Associates &amp; Aldrich Company, The;Seven Arts Pictures;Warner Bros.",Bette Davis;Joan Crawford;Victor Buono;Wesley Addy;Julie Allred;Anne Barton;Marjorie Bennett;Bert Freed;Anna Lee;Maidie Norman;Dave Willock;William Aldrich;Russ Conway;Maxine Cooper;Robert Cornthwaite,,"28,785"
