title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Witness for the Prosecution,116 min, Drama; Mystery; Thriller,Billy Wilder,Agatha Christie;Billy Wilder;Edward Small Productions,Tyrone Power;Marlene Dietrich;Charles Laughton;Elsa Lanchester;John Williams;Henry Daniell;Ian Wolfe;Torin Thatcher;Norma Varden;Una O'Connor;Francis Compton;Philip Tonge;Ruta Lee,,"55,740"
Reservoir Dogs,99 min, Crime; Drama,Quentin Tarantino,Quentin Tarantino;Roger Avary;Live Entertainment;Dog Eat Dog Productions Inc.,Harvey Keitel;Tim Roth;Michael Madsen;Chris Penn;Steve Buscemi;Lawrence Tierney;Edward Bunker;Quentin Tarantino;Randy Brooks;Kirk Baltz;Steven Wright;Rich Turner;David Steen;Tony Cosmo;Stevo Polyi,,"601,407"
Braveheart,178 min, Biography; Drama; History; War,Mel Gibson,"Randall Wallace;Icon Entertainment International;Ladd Company, The;B.H. Finance C.V.",James Robinson;Sean Lawlor;Sandy Nelson;James Cosmo;Sean McGinley;Alan Tall;Andrew Weir;Gerda Stevenson;Ralph Riach;Mhairi Calvey;Brian Cox;Patrick McGoohan;Peter Hanly;Sophie Marceau;Stephen Billington,,"676,123"
Toy Story 3,103 min, Animation; Adventure; Comedy; Family; Fantasy,Lee Unkrich,John Lasseter;Andrew Stanton;Walt Disney Pictures;Pixar Animation Studios,Tom Hanks;Tim Allen;Joan Cusack;Ned Beatty;Don Rickles;Michael Keaton;Wallace Shawn;John Ratzenberger;Estelle Harris;John Morris;Jodi Benson;Emily Hahn;Laurie Metcalf;Blake Clark;Teddy Newton,,"490,349"
A Clockwork Orange,136 min, Crime; Drama; Sci-Fi,Stanley Kubrick,Stanley Kubrick;Anthony Burgess;Warner Bros.;Hawk Films,Malcolm McDowell;Patrick Magee;Michael Bates;Warren Clarke;John Clive;Adrienne Corri;Carl Duering;Paul Farrell;Clive Francis;Michael Gover;Miriam Karlin;James Marcus;Aubrey Morris;Godfrey Quigley;Sheila Raynor,,"508,595"
Requiem for a Dream,102 min, Drama,Darren Aronofsky,Hubert Selby Jr.;Hubert Selby Jr.;Artisan Entertainment;Thousand Words;Sibling Productions,Ellen Burstyn;Jared Leto;Jennifer Connelly;Marlon Wayans;Christopher McDonald;Louise Lasser;Marcia Jean Kurtz;Janet Sarno;Suzanne Shepherd;Joanne Gordon;Charlotte Aronofsky;Mark Margolis;Michael Kaycheck;Jack O'Connell;Chas Mastin,,"528,046"
Taxi Driver,110 min, Crime; Drama,Martin Scorsese,Paul Schrader;Columbia Pictures Corporation;Bill/Phillips;Italo/Judeo Productions,Diahnne Abbott;Frank Adu;Victor Argo;Gino Ardito;Garth Avery;Peter Boyle;Albert Brooks;Harry Cohn;Copper Cunningham;Robert De Niro;Brenda Dickson;Harry Fischler;Jodie Foster;Nat Grant;Leonard Harris,,"461,003"
Double Indemnity,90 min, Crime; Drama; Film-Noir; Thriller,Billy Wilder,Billy Wilder;Raymond Chandler;Paramount Pictures,Fred MacMurray;Barbara Stanwyck;Edward G. Robinson;Porter Hall;Jean Heather;Tom Powers;Byron Barr;Richard Gaines;Fortunio Bonanova;John Philliber,,"89,578"
To Kill a Mockingbird,129 min, Drama,Robert Mulligan,Harper Lee;Horton Foote;Universal International Pictures (UI);Pakula-Mulligan;Brentwood Productions,Gregory Peck;John Megna;Frank Overton;Rosemary Murphy;Ruth White;Brock Peters;Estelle Evans;Paul Fix;Collin Wilcox Paxton;James Anderson;Alice Ghostley;Robert Duvall;William Windom;Crahan Denton;Richard Hale,,"195,449"
Lawrence of Arabia,227 min, Adventure; Biography; Drama; History; War,David Lean,T.E. Lawrence;Robert Bolt;Horizon Pictures (II),Peter O'Toole;Alec Guinness;Anthony Quinn;Jack Hawkins;Omar Sharif;José Ferrer;Anthony Quayle;Claude Rains;Arthur Kennedy;Donald Wolfit;I.S. Johar;Gamil Ratib;Michel Ray;John Dimech;Zia Mohyeddin,,"176,182"
